Food_Type,Temperature_C,Humidity_%,Days_Stored,Storage_Type,Shelf_Life_Remaining_Days
Yogurt,27,70,5,Refrigerated,0.54
Tomato,23,52,3,Refrigerated,1.82
Milk,14,83,6,Refrigerated,0.5
Bread,27,57,3,Ambient,0.5
Mango,20,77,4,Refrigerated,0.5
Apple,4,58,3,Ambient,6.05
Chicken,18,66,7,Ambient,0.5
Milk,31,75,3,Refrigerated,0.5
Potato,31,71,2,Refrigerated,5.02
Bread,19,63,2,Refrigerated,0.5
Bread,8,57,9,Refrigerated,0.5
Chicken,26,53,9,Ambient,0.5
Banana,29,73,6,Ambient,0.5
Fish,14,79,1,Ambient,0.5
Potato,26,65,5,Ambient,3.79
Banana,11,70,3,Refrigerated,0.88
Mango,19,72,3,Ambient,0.82
Potato,2,56,7,Refrigerated,5.68
Potato,8,55,7,Ambient,4.96
Tomato,25,79,1,Ambient,2.23
Mango,10,74,7,Refrigerated,0.5
Banana,7,57,2,Ambient,2.37
Mango,30,77,7,Ambient,0.5
Banana,20,71,7,Ambient,0.5
Banana,8,67,5,Ambient,0.5
Apple,15,59,8,Refrigerated,1.32
Mango,17,83,7,Ambient,0.5
Bread,17,70,5,Ambient,0.5
Chicken,12,57,8,Ambient,0.5
Fish,22,76,8,Ambient,0.5
Milk,17,57,5,Ambient,0.5
Banana,22,61,9,Refrigerated,0.5
Yogurt,24,68,7,Ambient,0.5
Banana,29,54,2,Ambient,0.5
Bread,11,82,6,Refrigerated,0.5
Fish,28,64,3,Refrigerated,0.5
Tomato,31,81,1,Refrigerated,1.43
Milk,18,76,6,Ambient,0.5
Bread,2,61,5,Ambient,0.5
Tomato,3,77,5,Ambient,2.37
Yogurt,11,79,2,Ambient,4.32
Banana,31,56,7,Ambient,0.5
Tomato,30,70,8,Refrigerated,0.5
Banana,6,53,9,Ambient,0.5
Chicken,8,53,1,Refrigerated,1.01
Tomato,12,81,4,Ambient,1.81
Potato,27,79,5,Ambient,3.32
Potato,9,65,8,Ambient,3.92
Milk,3,68,9,Ambient,0.5
Tomato,24,76,5,Refrigerated,0.5
